Taxa	PedUC47	PedUC58	PedCtrl59	PedUC60
c__Syntrophomonadia|o__Thermacetogeniales	0.0	0.0	0.0	1.0
k__Bacillati|p__Actinomycetota	12158.0	11948.0	4743.0	82541.0
k__Bacillati|p__Armatimonadota	0.0	0.0	0.0	3.0
k__Bacillati|p__Bacillota	404093.0	431092.0	244909.0	1330200.0
k__Bacillati|p__Candidatus_Melainabacteria	12.0	6.0	5.0	54.0
k__Bacillati|p__Chloroflexota	0.0	0.0	1.0	7.0
k__Bacillati|p__Cyanobacteriota	1.0	2.0	1.0	11.0
k__Bacillati|p__Mycoplasmatota	3.0	1.0	6.0	3185.0
k__Fungi|p__Ascomycota	4.0	2.0	3.0	5.0
k__Fungi|p__Basidiomycota	0.0	0.0	2.0	0.0
k__Fusobacteriati|p__Fusobacteriota	45.0	23.0	20.0	167.0
k__Heunggongvirae|p__Peploviricota	0.0	17.0	0.0	0.0
k__Heunggongvirae|p__Uroviricota	8.0	297.0	0.0	2.0
k__Metazoa|p__Arthropoda	176.0	347.0	24.0	0.0
k__Metazoa|p__Chordata	397.0	72.0	767.0	41.0
k__Metazoa|p__Mollusca	0.0	0.0	0.0	1.0
k__Methanobacteriati|p__Methanobacteriota	1.0	68.0	20.0	3.0
k__Methanobacteriati|p__Thermoplasmatota	0.0	0.0	3.0	1.0
k__Pseudomonadati|p__Acidobacteriota	0.0	1.0	0.0	3.0
k__Pseudomonadati|p__Aquificota	0.0	0.0	0.0	2.0
k__Pseudomonadati|p__Atribacterota	0.0	1.0	0.0	0.0
k__Pseudomonadati|p__Bacteroidota	707586.0	4143345.0	91464.0	1866567.0
k__Pseudomonadati|p__Balneolota	0.0	0.0	1.0	1.0
k__Pseudomonadati|p__Bdellovibrionota	0.0	0.0	2.0	4.0
k__Pseudomonadati|p__Campylobacterota	42.0	27.0	46.0	16.0
k__Pseudomonadati|p__Candidatus_Electryoneota	0.0	0.0	0.0	1.0
k__Pseudomonadati|p__Candidatus_Omnitrophota	0.0	0.0	0.0	2.0
k__Pseudomonadati|p__Chlamydiota	0.0	0.0	2.0	2.0
k__Pseudomonadati|p__Chlorobiota	0.0	0.0	0.0	1.0
k__Pseudomonadati|p__Deferribacterota	0.0	0.0	1.0	1.0
k__Pseudomonadati|p__Elusimicrobiota	0.0	0.0	1.0	2.0
k__Pseudomonadati|p__Fibrobacterota	0.0	0.0	0.0	5.0
k__Pseudomonadati|p__Gemmatimonadota	0.0	0.0	0.0	1.0
k__Pseudomonadati|p__Ignavibacteriota	0.0	1.0	0.0	5.0
k__Pseudomonadati|p__Kiritimatiellota	0.0	0.0	0.0	1.0
k__Pseudomonadati|p__Lentisphaerota	0.0	0.0	0.0	4.0
k__Pseudomonadati|p__Myxococcota	0.0	0.0	0.0	6.0
k__Pseudomonadati|p__Nitrospirota	0.0	0.0	1.0	1.0
k__Pseudomonadati|p__Planctomycetota	0.0	0.0	1.0	4.0
k__Pseudomonadati|p__Pseudomonadota	105470.0	296995.0	67173.0	10295.0
k__Pseudomonadati|p__Spirochaetota	2.0	2.0	2.0	18.0
k__Pseudomonadati|p__Thermodesulfobacteriota	1.0	13.0	144.0	8004.0
k__Pseudomonadati|p__Verrucomicrobiota	14.0	42.0	34.0	209.0
k__Thermoproteati|p__Candidatus_Bathyarchaeota	0.0	0.0	0.0	1.0
k__Thermoproteati|p__Nitrososphaerota	0.0	0.0	1.0	4.0
k__Thermoproteati|p__Thermoproteota	0.0	0.0	1.0	2.0
k__Thermotogati|p__Deinococcota	0.0	1.0	0.0	1.0
k__Thermotogati|p__Synergistota	0.0	0.0	0.0	2.0
k__Thermotogati|p__Thermotogota	0.0	0.0	0.0	1.0
k__Viridiplantae|p__Streptophyta	1.0	1.0	19.0	8.0
p__Apicomplexa|c__Aconoidasida	0.0	1.0	2.0	3.0
p__Apicomplexa|c__Conoidasida	2.0	0.0	4.0	0.0
p__Candidatus_Absconditibacteriota|o__Candidatus_Absconditabacterales	1.0	0.0	0.0	1.0
p__Candidatus_Saccharibacteria|c__Candidatus_Nanosyncoccalia	2.0	4.0	7.0	4.0
p__Candidatus_Saccharibacteria|c__Candidatus_Saccharimonadia	28.0	10.0	8.0	28.0
p__Euglenozoa|c__Kinetoplastea	0.0	0.0	2.0	0.0
p__Fornicata|o__Diplomonadida	0.0	0.0	1.0	1.0
