Taxa	PedUC47	PedUC58	PedCtrl59	PedUC60
c__Syntrophomonadia	0.0	0.0	0.0	1.0
g__Candidatus_Avigastranaerophilus	0.0	0.0	0.0	2.0
g__Candidatus_Galligastranaerophilus	0.0	0.0	0.0	4.0
g__Candidatus_Scatenecus	2.0	0.0	4.0	1.0
g__Candidatus_Ventrenecus	7.0	77.0	0.0	1.0
k__Bacillati	421212.0	448543.0	253454.0	1445116.0
k__Fungi	4.0	2.0	5.0	5.0
k__Fusobacteriati	45.0	23.0	20.0	167.0
k__Heunggongvirae	8.0	314.0	0.0	2.0
k__Metazoa	575.0	419.0	792.0	42.0
k__Methanobacteriati	1.0	68.0	23.0	4.0
k__Pseudomonadati	841428.0	4683145.0	163727.0	1944787.0
k__Thermoproteati	0.0	0.0	2.0	7.0
k__Thermotogati	0.0	1.0	0.0	4.0
k__Viridiplantae	1.0	1.0	19.0	8.0
p__Apicomplexa	2.0	1.0	6.0	3.0
p__Candidatus_Absconditibacteriota	1.0	0.0	0.0	1.0
p__Candidatus_Saccharibacteria	31.0	14.0	15.0	36.0
p__Euglenozoa	0.0	0.0	2.0	0.0
p__Fornicata	0.0	0.0	1.0	1.0
