Taxa	PedUC47	PedUC58	PedCtrl59	PedUC60
k__Pseudomonadati|p__Elusimicrobiota|c__Endomicrobiia	0.0	0.0	1.0	0.0
k__Pseudomonadati|p__Fibrobacterota|c__Fibrobacteria	0.0	0.0	0.0	5.0
k__Pseudomonadati|p__Gemmatimonadota|c__Longimicrobiia	0.0	0.0	0.0	1.0
k__Pseudomonadati|p__Ignavibacteriota|c__Ignavibacteria	0.0	1.0	0.0	5.0
k__Pseudomonadati|p__Kiritimatiellota|c__Kiritimatiellia	0.0	0.0	0.0	1.0
k__Pseudomonadati|p__Lentisphaerota|c__Lentisphaeria	0.0	0.0	0.0	4.0
k__Pseudomonadati|p__Myxococcota|c__Myxococcia	0.0	0.0	0.0	4.0
k__Pseudomonadati|p__Myxococcota|o__Haliangiales	0.0	0.0	0.0	1.0
k__Pseudomonadati|p__Myxococcota|o__Nannocystales	0.0	0.0	0.0	1.0
k__Pseudomonadati|p__Nitrospirota|c__Nitrospiria	0.0	0.0	1.0	1.0
k__Pseudomonadati|p__Planctomycetota|c__Candidatus_Brocadiia	0.0	0.0	1.0	0.0
k__Pseudomonadati|p__Planctomycetota|c__Planctomycetia	0.0	0.0	0.0	4.0
k__Pseudomonadati|p__Pseudomonadota|c__Alphaproteobacteria	8.0	16.0	19.0	103.0
k__Pseudomonadati|p__Pseudomonadota|c__Betaproteobacteria	46461.0	60552.0	7656.0	5262.0
k__Pseudomonadati|p__Pseudomonadota|c__Candidatius_Mariprofundia	0.0	0.0	6.0	0.0
k__Pseudomonadati|p__Pseudomonadota|c__Gammaproteobacteria	56872.0	231658.0	58809.0	4791.0
k__Pseudomonadati|p__Spirochaetota|c__Spirochaetia	2.0	2.0	2.0	18.0
k__Pseudomonadati|p__Thermodesulfobacteriota|c__Desulfobulbia	0.0	0.0	1.0	1.0
k__Pseudomonadati|p__Thermodesulfobacteriota|c__Desulfovibrionia	1.0	13.0	141.0	8000.0
k__Pseudomonadati|p__Thermodesulfobacteriota|c__Syntrophobacteria	0.0	0.0	1.0	0.0
k__Pseudomonadati|p__Thermodesulfobacteriota|c__Syntrophorhabdia	0.0	0.0	0.0	1.0
k__Pseudomonadati|p__Thermodesulfobacteriota|c__Thermodesulfobacteria	0.0	0.0	0.0	1.0
k__Pseudomonadati|p__Verrucomicrobiota|c__Opitutia	0.0	0.0	0.0	2.0
k__Pseudomonadati|p__Verrucomicrobiota|c__Spartobacteria	0.0	0.0	0.0	1.0
k__Pseudomonadati|p__Verrucomicrobiota|c__Verrucomicrobiia	14.0	42.0	34.0	206.0
k__Thermoproteati|p__Candidatus_Bathyarchaeota|c__Candidatus_Bathyarchaeia	0.0	0.0	0.0	1.0
k__Thermoproteati|p__Nitrososphaerota|c__Nitrososphaeria	0.0	0.0	1.0	4.0
k__Thermoproteati|p__Thermoproteota|c__Thermoprotei	0.0	0.0	1.0	2.0
k__Thermotogati|p__Deinococcota|c__Deinococci	0.0	1.0	0.0	1.0
k__Thermotogati|p__Synergistota|c__Synergistia	0.0	0.0	0.0	2.0
k__Thermotogati|p__Thermotogota|c__Thermotogae	0.0	0.0	0.0	1.0
k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	1.0	1.0	19.0	8.0
p__Apicomplexa|c__Aconoidasida|o__Haemosporida	0.0	1.0	2.0	3.0
p__Apicomplexa|c__Conoidasida|o__Eucoccidiorida	2.0	0.0	4.0	0.0
p__Candidatus_Absconditibacteriota|o__Candidatus_Absconditabacterales|f__Candidatus_Absconditicoccaceae	1.0	0.0	0.0	1.0
p__Candidatus_Saccharibacteria|c__Candidatus_Nanosyncoccalia|o__Candidatus_Nanogingivales	1.0	0.0	6.0	4.0
p__Candidatus_Saccharibacteria|c__Candidatus_Nanosyncoccalia|o__Candidatus_Nanosyncoccales	1.0	4.0	1.0	0.0
p__Candidatus_Saccharibacteria|c__Candidatus_Saccharimonadia|o__Candidatus_Nanosynbacterales	24.0	6.0	8.0	23.0
p__Candidatus_Saccharibacteria|c__Candidatus_Saccharimonadia|o__Candidatus_Saccharimonadales	4.0	4.0	0.0	5.0
p__Euglenozoa|c__Kinetoplastea|o__Trypanosomatida	0.0	0.0	2.0	0.0
p__Fornicata|o__Diplomonadida|f__Hexamitidae	0.0	0.0	1.0	1.0
